"Name","Team","PA","wOBA","wRC+","EV","maxEV","HardHit","HardHit%","GB%","LD%","FB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","O-Contact% (pfx)","Z-Contact% (pfx)","playerid"
"Dale Murphy","- - -","9041",".357","119","","","","","","","","","","","","","","","","1009355"
"Aramis Ramirez","- - -","8986",".357","115","87.4","108.6","142","34.5%","35.7%","20.0%","44.2%","41.4%","32.2%","26.4%","15.2%","52.2%","32.6%","66.4%","88.0%","1002"
"Danny Murphy","- - -","5978",".357","124","","","","","","","","","","","","","","","","1009352"
"Alex Metzler","- - -","2298",".357","101","","","","","","","","","","","","","","","","1008814"
"Jim Delahanty","- - -","4688",".357","121","","","","","","","","","","","","","","","","1003157"
"Fred Tenney","- - -","8807",".357","111","","","","","","","","","","","","","","","","1012916"
"Max Carey","- - -","10770",".357","110","","","","","","","","","","","","","","","","1001944"
"Richard Hidalgo","- - -","3929",".357","111","","","","","32.7%","21.2%","46.1%","50.8%","30.2%","19.0%","16.2%","54.0%","29.8%","","","561"
"Hideki Matsui","- - -","5066",".357","119","","","0","","44.2%","19.0%","36.7%","43.9%","32.9%","23.3%","15.6%","55.1%","29.4%","70.4%","89.9%","1659"
"Willie Kamm","- - -","6935",".356","100","","","","","","","","","","","","","","","","1006683"
"Sam Dungan","- - -","1685",".356","104","","","","","","","","","","","","","","","","1003561"
"Fred Snodgrass","- - -","3658",".356","114","","","","","","","","","","","","","","","","1012234"
"Hub Collins","- - -","3130",".356","116","","","","","","","","","","","","","","","","1002454"
"Chet Lemon","- - -","7874",".356","122","","","","","","","","","","","","","","","","1007518"
"Tony Perez","- - -","10861",".356","121","","","","","","","","","","","","","","","","1010188"
"Chase Utley","- - -","7863",".356","118","87.7","107.7","358","32.5%","38.9%","20.8%","40.3%","45.2%","33.3%","21.6%","14.3%","50.3%","35.4%","69.8%","91.9%","1679"
"Ray Chapman","Naps","4590",".356","111","","","","","","","","","","","","","","","","1002151"
"Sammy Strang","- - -","3512",".356","117","","","","","","","","","","","","","","","","1012599"
"Harry Davis","- - -","7379",".356","119","","","","","","","","","","","","","","","","1003053"
"Reggie Jefferson","- - -","2306",".356","110","","","","","","","","","","","","","","","","1006381"
"Buster Posey","Giants","5153",".356","128","89.2","110.3","790","37.5%","46.3%","22.0%","31.6%","36.7%","37.2%","26.0%","14.0%","52.2%","33.8%","72.9%","90.3%","9166"
"Cliff Bolton","- - -","1078",".356","99","","","","","","","","","","","","","","","","1001153"
"Jayson Werth","- - -","6366",".356","120","90.2","114.7","351","42.3%","38.7%","20.4%","40.9%","39.8%","34.3%","25.9%","16.5%","49.4%","34.1%","66.5%","85.2%","1327"
"Harry Lumley","Superbas","2963",".356","127","","","","","","","","","","","","","","","","1007830"
"Ron Cey","- - -","8344",".356","123","","","","","","","","","","","","","","","","1002108"
"Buster Adams","- - -","2292",".356","110","","","","","","","","","","","","","","","","1000047"
"Charlie Abbey","Senators","1959",".356","91","","","","","","","","","","","","","","","","1000007"
"Ken Boyer","- - -","8268",".355","116","","","","","","","","","","","","","","","","1001283"
"Bob Hamelin","- - -","1508",".355","109","","","","","","","","","","","","","","","","1005269"
"Jack Lelivelt","- - -","1279",".355","120","","","","","","","","","","","","","","","","1007510"
"Ben Grieve","- - -","3743",".355","113","","","","","53.4%","20.8%","25.9%","49.9%","26.7%","23.5%","11.6%","62.4%","26.1%","","","1209"
"Sam Mertes","- - -","4999",".355","113","","","","","","","","","","","","","","","","1008794"
"Joe Grace","- - -","1769",".355","102","","","","","","","","","","","","","","","","1004913"
"Moose Solters","- - -","3675",".355","94","","","","","","","","","","","","","","","","1012270"
"Darrell Evans","- - -","10737",".355","120","","","","","","","","","","","","","","","","1003864"
"Lenny Dykstra","- - -","5282",".355","122","","","","","","","","","","","","","","","","1003619"
"Phil Bradley","- - -","4255",".355","120","","","","","","","","","","","","","","","","1001313"
"Sandy Amoros","- - -","1558",".355","109","","","","","","","","","","","","","","","","1000212"
"Bill White","- - -","6680",".355","117","","","","","","","","","","","","","","","","1013855"
"Mike Napoli","- - -","5330",".355","119","88.9","114.2","367","39.7%","37.9%","18.5%","43.6%","45.0%","32.7%","22.4%","16.1%","49.1%","34.8%","57.7%","77.0%","3057"
"Del Pratt","- - -","7609",".355","110","","","","","","","","","","","","","","","","1010512"
"Mike Epstein","- - -","3393",".355","130","","","","","","","","","","","","","","","","1003800"
"Lyman Bostock","- - -","2214",".355","122","","","","","","","","","","","","","","","","1001220"
"Andy Seminick","- - -","4571",".355","107","","","","","","","","","","","","","","","","1011742"
"Trea Turner","Nationals","2383",".355","118","89.7","113.5","688","39.2%","47.8%","19.2%","33.0%","39.8%","36.5%","23.7%","17.8%","49.5%","32.7%","57.3%","87.7%","16252"
"Red Smith","- - -","4517",".355","118","","","","","","","","","","","","","","","","1012197"
"Guy Curtright","White Sox","1227",".355","117","","","","","","","","","","","","","","","","1002907"
"Billy Werber","- - -","5845",".355","100","","","","","","","","","","","","","","","","1013783"
"Larry Gardner","- - -","7685",".355","110","","","","","","","","","","","","","","","","1004528"
"Andre Ethier","Dodgers","5425",".355","122","86.2","110.9","117","32.1%","41.9%","23.0%","35.2%","39.3%","34.4%","26.3%","15.0%","52.8%","32.2%","62.2%","89.4%","6265"
"Gibby Brack","- - -","1081",".355","108","","","","","","","","","","","","","","","","1001294"
"Hank Bauer","- - -","5776",".354","114","","","","","","","","","","","","","","","","1000679"
"George Hall","- - -","1708",".354","129","","","","","","","","","","","","","","","","1005245"
"Chili Davis","- - -","9997",".354","118","","","","","","","","","","","","","","","","1003041"
"Eddie Murphy","- - -","2749",".354","116","","","","","","","","","","","","","","","","1009361"
"Wes Schulmerich","- - -","1584",".354","110","","","","","","","","","","","","","","","","1011646"
"Geoff Jenkins","- - -","5254",".354","111","","","0","","42.4%","22.6%","35.0%","42.1%","30.5%","27.4%","13.1%","54.8%","32.1%","53.7%","84.4%","690"
"Pete Rose","- - -","15876",".354","121","","","","","","","","","","","","","","","","1011217"
"Dave Nilsson","Brewers","3153",".354","108","","","","","","","","","","","","","","","","1009601"
"Dave Parker","- - -","10184",".354","120","","","","","","","","","","","","","","","","1010000"
"Don Mincher","- - -","4725",".354","126","","","","","","","","","","","","","","","","1008973"
"Tony Conigliaro","- - -","3591",".354","119","","","","","","","","","","","","","","","","1002502"
"Carlos Correa","Astros","2583",".354","127","89.8","118.2","719","41.0%","47.0%","21.4%","31.6%","36.9%","35.1%","28.0%","17.7%","46.1%","36.2%","63.1%","86.2%","14162"
"Johnny Hodapp","- - -","3057",".354","97","","","","","","","","","","","","","","","","1005878"
"Javy Lopez","- - -","5793",".354","112","","","","","45.4%","20.9%","33.8%","48.3%","30.0%","21.7%","13.2%","57.5%","29.3%","","","103"
"Mike Easler","- - -","4061",".354","119","","","","","","","","","","","","","","","","1003635"
"Moose McCormick","- - -","1375",".354","122","","","","","","","","","","","","","","","","1008421"
"Wally Post","- - -","4397",".354","110","","","","","","","","","","","","","","","","1010468"
"Guy Zinn","- - -","1247",".354","106","","","","","","","","","","","","","","","","1014451"
"Matt Chapman","Athletics","1764",".354","126","92.5","115.9","529","46.8%","38.4%","18.0%","43.6%","40.8%","35.0%","24.1%","17.1%","40.3%","42.6%","57.2%","82.2%","16505"
"Carlton Fisk","- - -","9853",".354","117","","","","","","","","","","","","","","","","1004101"
"Jeromy Burnitz","- - -","6580",".354","110","","","","","38.8%","18.9%","42.3%","52.2%","24.7%","23.1%","16.3%","55.0%","28.7%","","","867"
"Mack Jones","- - -","3584",".354","122","","","","","","","","","","","","","","","","1006574"
"Benny McCoy","- - -","1423",".354","97","","","","","","","","","","","","","","","","1008425"
"Ken Griffey","- - -","8049",".354","119","","","","","","","","","","","","","","","","1005044"
"Jermaine Dye","- - -","7214",".354","110","","","0","","37.9%","19.7%","42.4%","46.8%","28.1%","25.1%","14.2%","54.1%","31.7%","64.1%","87.2%","911"
"Bobby Higginson","Tigers","5664",".354","111","","","","","36.6%","21.5%","41.9%","49.2%","28.0%","22.8%","11.6%","65.0%","23.4%","","","469"
"Bob Dillinger","- - -","3201",".354","98","","","","","","","","","","","","","","","","1003302"
"Dmitri Young","- - -","5253",".354","112","","","0","","46.3%","21.9%","31.8%","39.9%","31.7%","28.4%","11.6%","55.2%","33.2%","65.0%","87.0%","505"
"Rusty Staub","- - -","11229",".353","122","","","","","","","","","","","","","","","","1012440"
"Amos Strunk","- - -","5803",".353","111","","","","","","","","","","","","","","","","1012634"
"Johnny Romano","- - -","3256",".353","122","","","","","","","","","","","","","","","","1011165"
"John Sneed","- - -","1131",".353","117","","","","","","","","","","","","","","","","1012226"
"Jimmy Walsh","- - -","1736",".353","105","","","","","","","","","","","","","","","","1013572"
"Tom Parrott","- - -","1047",".353","89","","","","","","","","","","","","","","","","1010025"
"Rick Ferrell","- - -","7072",".353","98","","","","","","","","","","","","","","","","1004007"
"Beals Becker","- - -","3091",".353","111","","","","","","","","","","","","","","","","1000740"
"Kevin Millar","- - -","5382",".353","112","","","0","","32.9%","20.8%","46.2%","51.0%","28.1%","20.9%","15.1%","56.8%","28.1%","72.6%","89.8%","529"
"Art Wilson","- - -","2440",".353","116","","","","","","","","","","","","","","","","1014059"
"Johnny Grubb","- - -","4823",".353","121","","","","","","","","","","","","","","","","1005103"
"Joe Collins","Yankees","2700",".353","113","","","","","","","","","","","","","","","","1002456"
"Justin Morneau","- - -","6392",".353","116","89.7","110.6","113","38.2%","41.3%","19.8%","39.0%","38.1%","35.1%","26.9%","14.9%","52.8%","32.3%","67.9%","88.7%","1737"
"Cecil Cooper","- - -","7939",".353","119","","","","","","","","","","","","","","","","1002592"
"Richie Hebner","- - -","7022",".353","119","","","","","","","","","","","","","","","","1005571"
"Matt Olson","Athletics","1696",".353","126","92.8","113.3","518","49.6%","34.8%","21.1%","44.1%","47.1%","31.6%","21.3%","14.8%","38.8%","46.4%","59.0%","77.4%","14344"
"Sean Casey","- - -","5644",".353","109","","","0","","45.8%","23.2%","30.9%","42.5%","31.5%","26.0%","10.8%","61.3%","27.8%","78.4%","94.7%","314"
"Al Smith","- - -","6172",".353","116","","","","","","","","","","","","","","","","1012090"
"Josh Devore","- - -","2158",".353","106","","","","","","","","","","","","","","","","1003254"
"Norm Siebern","- - -","5267",".353","118","","","","","","","","","","","","","","","","1011949"
"Jesse Hill","- - -","1091",".353","96","","","","","","","","","","","","","","","","1005826"
"Mike Menosky","- - -","2879",".353","104","","","","","","","","","","","","","","","","1008767"
"Pete Fox","- - -","6168",".353","97","","","","","","","","","","","","","","","","1004283"
"Justin Upton","- - -","7230",".353","120","90.0","114.9","761","42.9%","40.1%","19.3%","40.6%","38.6%","35.4%","26.0%","17.8%","45.8%","36.4%","50.0%","79.8%","5222"
"Lou Whitaker","Tigers","9967",".353","118","","","","","","","","","","","","","","","","1013846"
"Jesse Barfield","- - -","5394",".353","117","","","","","","","","","","","","","","","","1000537"
"Cesar Cedeno","- - -","8133",".353","122","","","","","","","","","","","","","","","","1002100"
"Jack Doyle","- - -","6566",".353","104","","","","","","","","","","","","","","","","1003461"
"Wally Pipp","- - -","7820",".353","104","","","","","","","","","","","","","","","","1010365"
"Wally Joyner","- - -","8115",".352","116","","","","","","","","","","","","","","","","1006637"
"Al Oliver","- - -","9778",".352","120","","","","","","","","","","","","","","","","1009773"
"Bob O'Farrell","- - -","4742",".352","100","","","","","","","","","","","","","","","","1009740"
"Bill Mueller","- - -","4886",".352","112","","","","","41.7%","24.6%","33.8%","42.7%","27.9%","29.4%","11.7%","61.9%","26.4%","","","295"
"Gary Roenicke","- - -","3204",".352","119","","","","","","","","","","","","","","","","1011120"
"Yasiel Puig","- - -","3376",".352","124","89.5","116.0","630","38.7%","46.2%","18.0%","35.8%","41.0%","34.1%","24.9%","19.2%","45.6%","35.2%","51.6%","83.6%","14225"
"Josh Phelps","- - -","1552",".352","112","","","0","","44.4%","23.3%","32.3%","46.4%","28.4%","25.2%","11.3%","57.4%","31.2%","43.6%","78.1%","1318"
"Doc Miller","- - -","1889",".352","101","","","","","","","","","","","","","","","","1008886"
"Chuck Knoblauch","- - -","7387",".352","109","","","","","45.7%","15.7%","38.6%","44.1%","29.4%","26.5%","15.1%","68.4%","16.5%","","","609"
"Craig Biggio","Astros","12504",".352","115","","","0","","43.2%","19.7%","37.2%","50.2%","27.2%","22.6%","14.9%","59.3%","25.9%","52.0%","89.1%","549"
"Carlos Santana","- - -","6402",".352","121","89.8","113.5","1023","40.8%","42.4%","18.2%","39.4%","51.3%","30.6%","18.1%","19.0%","46.9%","34.1%","64.2%","86.3%","2396"
"Benny Agbayani","- - -","1255",".352","109","","","","","47.8%","19.1%","33.0%","42.6%","29.6%","27.8%","13.9%","62.6%","23.5%","","","416"
"Jose Altuve","Astros","5668",".352","125","87.0","112.3","868","32.1%","47.6%","21.5%","30.9%","41.7%","36.5%","21.8%","17.0%","54.7%","28.3%","75.9%","92.2%","5417"
"Luke Scott","- - -","3193",".352","115","","","0","","40.0%","18.2%","41.8%","46.0%","31.8%","22.2%","16.7%","49.3%","34.0%","55.2%","84.9%","3469"
"Mule Haas","- - -","4976",".352","96","","","","","","","","","","","","","","","","1005173"
"Tony Solaita","- - -","1554",".352","121","","","","","","","","","","","","","","","","1012265"
"Andruw Jones","- - -","8664",".352","111","","","0","","41.3%","17.4%","41.3%","53.6%","29.5%","16.9%","15.7%","51.3%","33.0%","55.2%","81.7%","96"
"Dustin Pedroia","Red Sox","6777",".352","115","87.4","104.7","330","25.6%","46.0%","20.9%","33.1%","40.5%","34.0%","25.6%","16.0%","55.3%","28.7%","82.1%","92.4%","8370"
"Dale Long","- - -","3426",".352","113","","","","","","","","","","","","","","","","1007730"
"Del Gainer","- - -","1844",".352","111","","","","","","","","","","","","","","","","1004432"
"Mitch Haniger","- - -","1499",".352","124","89.4","112.9","396","40.3%","41.2%","20.3%","38.5%","45.5%","34.5%","20.0%","17.4%","46.4%","36.2%","50.6%","86.5%","14274"
"Tony Clark","- - -","5120",".352","109","","","0","","47.1%","18.9%","34.0%","45.7%","29.1%","25.3%","13.4%","53.9%","32.7%","48.3%","78.7%","182"
"John Wockenfuss","- - -","2373",".352","117","","","","","","","","","","","","","","","","1014176"
"Bobby Brown","Yankees","1862",".352","103","","","","","","","","","","","","","","","","1001496"
"Red Kress","- - -","5664",".352","94","","","","","","","","","","","","","","","","1007160"
"Milton Bradley","- - -","4181",".352","114","","","0","","44.9%","20.9%","34.1%","39.9%","31.4%","28.7%","15.1%","56.1%","28.8%","56.6%","81.5%","369"
"Kenny Lofton","- - -","9235",".352","109","","","0","","44.6%","20.5%","34.9%","34.2%","32.5%","33.3%","16.0%","61.1%","22.9%","77.9%","93.4%","246"
"George Crowe","- - -","1915",".352","110","","","","","","","","","","","","","","","","1002825"
"Ted Easterly","- - -","2188",".352","113","","","","","","","","","","","","","","","","1003643"
"Jack Dalton","- - -","1346",".352","112","","","","","","","","","","","","","","","","1002951"
"Francisco Lindor","Indians","3510",".351","118","89.9","114.5","1022","37.8%","43.3%","20.9%","35.8%","40.5%","34.3%","25.1%","15.9%","49.4%","34.7%","70.3%","90.6%","12916"
"Robin Ventura","- - -","8271",".351","113","","","","","39.1%","17.4%","43.5%","50.9%","25.9%","23.2%","13.7%","60.0%","26.3%","","","854"
"Ed Bouchee","- - -","2593",".351","112","","","","","","","","","","","","","","","","1001232"
"Ryne Sandberg","- - -","9282",".351","115","","","","","","","","","","","","","","","","1011411"
"Jim Viox","Pirates","1989",".351","116","","","","","","","","","","","","","","","","1013436"
"Eddie Burke","- - -","3918",".351","96","","","","","","","","","","","","","","","","1001678"
"Ron Gant","- - -","7320",".351","112","","","","","37.3%","17.4%","45.3%","47.8%","29.2%","23.0%","16.2%","59.1%","24.7%","","","1032"
"Carlos Lee","- - -","8787",".351","112","","","0","","36.3%","20.1%","43.6%","43.9%","32.1%","24.0%","16.5%","54.2%","29.3%","75.8%","93.0%","243"
"Ryan Zimmerman","Nationals","7129",".351","116","92.0","113.9","669","48.5%","45.1%","18.9%","36.0%","36.3%","35.9%","27.8%","14.8%","49.5%","35.8%","64.4%","87.4%","4220"
"Sammy Byrd","- - -","1933",".351","104","","","","","","","","","","","","","","","","1001796"
"Travis Jackson","Giants","6679",".351","101","","","","","","","","","","","","","","","","1006314"
"Fielder Jones","- - -","7894",".351","116","","","","","","","","","","","","","","","","1006555"
"Jeff Cirillo","- - -","6136",".351","103","","","0","","43.7%","19.2%","37.0%","41.5%","29.8%","28.7%","16.3%","64.1%","19.6%","66.7%","92.8%","1073"
"Dick Gernert","- - -","2896",".351","106","","","","","","","","","","","","","","","","1004637"
"Frank Welch","- - -","2678",".351","92","","","","","","","","","","","","","","","","1013753"
"Kevin Seitzer","- - -","6062",".351","113","","","","","","","","","","","","","","","","1011730"
"Billy Goodman","- - -","6446",".351","101","","","","","","","","","","","","","","","","1004856"
"Pinky Hargrave","- - -","1779",".351","96","","","","","","","","","","","","","","","","1005362"
"Max West","- - -","3057",".351","113","","","","","","","","","","","","","","","","1013809"
"Dick Stuart","- - -","4363",".351","116","","","","","","","","","","","","","","","","1012639"
"Frank Schulte","- - -","7413",".351","114","","","","","","","","","","","","","","","","1011631"
"Willie Horton","- - -","8052",".351","119","","","","","","","","","","","","","","","","1006038"
"Jimmy Williams","- - -","6112",".351","112","","","","","","","","","","","","","","","","1014005"
"Brian Daubach","- - -","2303",".351","108","","","","","38.1%","22.9%","39.0%","45.2%","23.9%","30.9%","10.1%","62.6%","27.3%","","","186"
"Gleyber Torres","Yankees","1248",".351","121","88.9","110.2","313","37.0%","36.1%","22.0%","41.8%","42.9%","32.5%","24.6%","14.4%","47.6%","37.9%","53.8%","80.9%","16997"
"Snuffy Stirnweiss","- - -","4292",".351","106","","","","","","","","","","","","","","","","1012546"
"Harry Walker","- - -","2981",".351","104","","","","","","","","","","","","","","","","1013521"
"Victor Martinez","- - -","8166",".351","117","88.6","110.2","568","35.1%","42.0%","21.6%","36.4%","45.2%","31.0%","23.7%","13.2%","53.6%","33.2%","81.0%","92.5%","393"
"John Reilly","- - -","4935",".350","119","","","","","","","","","","","","","","","","1010803"
"Glenn Wright","- - -","4480",".350","97","","","","","","","","","","","","","","","","1014280"
"Sam Horn","- - -","1185",".350","117","","","","","","","","","","","","","","","","1006029"
"Greg Vaughn","- - -","7070",".350","111","","","","","35.2%","13.8%","51.0%","65.3%","21.9%","12.8%","17.4%","59.0%","23.6%","","","1233"
"Taylor Douthit","- - -","4727",".350","96","","","","","","","","","","","","","","","","1003438"
"Lyn Lary","- - -","5424",".350","94","","","","","","","","","","","","","","","","1007365"
"Pop Foster","- - -","1014",".350","103","","","","","","","","","","","","","","","","1004255"
"Adrian Beltre","- - -","12130",".350","115","89.0","109.9","635","38.0%","40.9%","20.0%","39.0%","40.7%","34.1%","25.2%","14.6%","51.9%","33.4%","71.7%","88.3%","639"
"Tino Martinez","- - -","8044",".350","110","","","","","42.3%","19.8%","37.9%","53.6%","26.1%","20.3%","15.1%","59.2%","25.8%","","","1168"
"David Peralta","Diamondbacks","2880",".350","116","90.1","116.0","737","40.5%","51.4%","20.5%","28.1%","37.6%","37.8%","24.5%","17.1%","45.2%","37.7%","58.4%","88.1%","2136"
"Miguel Sano","Twins","2256",".350","119","93.0","115.8","577","50.3%","37.1%","20.7%","42.2%","45.3%","33.6%","21.1%","12.5%","42.5%","45.0%","30.7%","76.1%","12164"
"Benny Meyer","- - -","1236",".350","106","","","","","","","","","","","","","","","","1008819"
"Matt Kemp","- - -","6983",".350","120","88.7","111.9","662","37.9%","41.5%","22.5%","36.0%","42.2%","34.8%","23.0%","12.8%","51.1%","36.1%","56.1%","80.7%","5631"
"Phil Nevin","- - -","4703",".350","112","","","","","43.2%","21.6%","35.2%","39.8%","33.5%","26.7%","12.1%","57.1%","30.8%","","","1049"
"Walton Cruise","- - -","2650",".350","113","","","","","","","","","","","","","","","","1002831"
"Carlos Pena","- - -","5893",".350","117","","","0","","37.6%","18.4%","44.0%","51.9%","27.7%","20.4%","14.7%","49.3%","36.0%","46.5%","76.8%","934"
"Jose Vidro","- - -","5708",".350","108","","","0","","49.0%","20.8%","30.2%","37.2%","33.5%","29.3%","15.4%","60.2%","24.4%","80.7%","93.6%","802"
"David Segui","- - -","5451",".350","110","","","","","47.0%","22.1%","30.9%","39.3%","30.5%","30.2%","17.1%","58.1%","24.8%","","","169"
"Grover Gilmore","Packers","1059",".350","110","","","","","","","","","","","","","","","","1004733"
"Yoenis Cespedes","- - -","3490",".350","124","91.5","115.2","557","45.8%","37.5%","18.9%","43.6%","42.2%","35.1%","22.6%","17.6%","47.5%","34.9%","60.8%","85.1%","13110"
"Tim Naehring","Red Sox","2162",".350","104","","","","","","","","","","","","","","","","1009433"
"Brady Anderson","- - -","7737",".350","111","","","","","34.5%","19.0%","46.6%","46.6%","24.1%","29.3%","12.1%","62.1%","25.9%","","","364"
"Grady Sizemore","- - -","4724",".350","115","89.3","107.4","78","36.4%","37.8%","20.4%","41.8%","44.2%","30.3%","25.5%","15.2%","51.6%","33.2%","65.6%","88.0%","2197"
"Bid McPhee","Red Stockings","9409",".350","108","","","","","","","","","","","","","","","","1008675"
"Andy Van Slyke","- - -","6495",".350","120","","","","","","","","","","","","","","","","1013363"
"Warren Newson","- - -","1193",".350","109","","","","","","","","","","","","","","","","1009549"
"Ping Bodie","- - -","4160",".350","108","","","","","","","","","","","","","","","","1001112"
"Steve Bilko","- - -","1992",".350","103","","","","","","","","","","","","","","","","1000966"
"Wes Covington","- - -","3291",".350","120","","","","","","","","","","","","","","","","1002687"
"Miller Huggins","- - -","6800",".350","111","","","","","","","","","","","","","","","","1006148"
"Frank Catalanotto","- - -","4292",".350","108","","","0","","46.9%","21.3%","31.8%","36.2%","32.8%","31.1%","13.5%","63.4%","23.0%","79.6%","92.7%","1241"
"Brad Fullmer","- - -","3065",".350","108","","","","","38.3%","20.4%","41.3%","48.7%","25.7%","25.6%","15.4%","58.7%","25.9%","","","13"
"Andre Dawson","- - -","10768",".350","117","","","","","","","","","","","","","","","","1003091"
"Manny Machado","- - -","4989",".350","120","91.1","116.8","1239","44.8%","42.4%","18.4%","39.2%","40.1%","35.0%","24.9%","18.6%","45.6%","35.8%","59.9%","88.0%","11493"
"Geronimo Berroa","- - -","2825",".350","108","","","","","","","","","","","","","","","","1000900"
"Chris Duncan","Cardinals","1317",".350","111","","","0","","43.6%","19.3%","37.1%","46.2%","30.2%","23.6%","16.7%","50.1%","33.2%","54.1%","86.1%","2722"
"Pee Wee Reese","Dodgers","9470",".350","103","","","","","","","","","","","","","","","","1010776"
"Bill Barrett","- - -","2693",".350","96","","","","","","","","","","","","","","","","1000592"
"Marty Sullivan","- - -","1787",".350","105","","","","","","","","","","","","","","","","1012705"
"Johnny Briggs","- - -","4837",".349","121","","","","","","","","","","","","","","","","1001429"
"Leon Wagner","- - -","4950",".349","120","","","","","","","","","","","","","","","","1013487"
"Walt Wilmot","- - -","4360",".349","100","","","","","","","","","","","","","","","","1014056"
"Brandon Belt","Giants","4400",".349","123","88.2","109.4","682","37.1%","31.5%","25.0%","43.5%","40.0%","33.9%","26.1%","14.3%","48.9%","36.8%","54.6%","84.8%","10264"
"Johnny Neun","- - -","1083",".349","93","","","","","","","","","","","","","","","","1009524"
"Jim Greengrass","- - -","1976",".349","101","","","","","","","","","","","","","","","","1005000"
"Dave Magadan","- - -","4963",".349","117","","","","","","","","","","","","","","","","1007961"
"Dusty Baker","- - -","8022",".349","117","","","","","","","","","","","","","","","","1000450"
"Jocko Fields","- - -","1451",".349","108","","","","","","","","","","","","","","","","1004029"
"Charlie Ferguson","Quakers","1078",".349","122","","","","","","","","","","","","","","","","1003987"
"Darby O'Brien","- - -","3128",".349","113","","","","","","","","","","","","","","","","1009686"
"Bill Lamar","- - -","2197",".349","93","","","","","","","","","","","","","","","","1007271"
"Hal Morris","- - -","4443",".349","111","","","","","","","","","","","","","","","","1009209"
"Bud Stewart","- - -","2335",".349","101","","","","","","","","","","","","","","","","1012517"
"Woody English","- - -","5469",".349","99","","","","","","","","","","","","","","","","1003785"
"Michael Cuddyer","- - -","6102",".349","112","87.6","110.4","92","31.5%","47.1%","19.4%","33.5%","42.2%","33.3%","24.5%","15.8%","54.3%","29.9%","63.9%","88.1%","1534"
"Bill Hassamaer","- - -","1147",".349","86","","","","","","","","","","","","","","","","1005477"
"Gil McDougald","Yankees","5395",".349","114","","","","","","","","","","","","","","","","1008471"
"Eric Chavez","- - -","6228",".349","113","","","0","","39.5%","20.0%","40.5%","39.9%","30.2%","29.9%","14.4%","55.5%","30.1%","70.9%","85.6%","906"
"Gee Walker","- - -","7211",".349","97","","","","","","","","","","","","","","","","1013519"
"Sammy Hale","- - -","3185",".349","91","","","","","","","","","","","","","","","","1005225"
"Mike Mitchell","- - -","4611",".349","111","","","","","","","","","","","","","","","","1009007"
"Raul Mondesi","- - -","6369",".349","112","","","","","39.0%","19.0%","41.9%","53.8%","27.2%","19.0%","15.2%","58.4%","26.4%","","","1314"
"Yank Robinson","- - -","4167",".349","111","","","","","","","","","","","","","","","","1011079"
"Jim Lemon","- - -","3870",".349","111","","","","","","","","","","","","","","","","1007520"
"Roy Foster","Indians","1153",".348","114","","","","","","","","","","","","","","","","1004257"
"Willson Contreras","Cubs","1889",".348","116","88.4","115.1","454","37.2%","51.8%","17.3%","30.9%","41.9%","33.9%","24.2%","19.7%","46.8%","33.5%","52.9%","80.0%","11609"
"Nick Swisher","- - -","6308",".348","114","86.8","106.0","49","29.2%","37.5%","20.2%","42.2%","46.7%","30.2%","23.1%","14.5%","51.6%","33.9%","56.6%","84.9%","4599"
"Buster Mills","- - -","1546",".348","91","","","","","","","","","","","","","","","","1008953"
"Frankie Hayes","- - -","5121",".348","98","","","","","","","","","","","","","","","","1005526"
"Matt Lawton","- - -","5570",".348","107","","","","","48.8%","19.0%","32.1%","47.3%","27.7%","25.0%","14.5%","62.0%","23.5%","","","390"
"Dick Bartell","- - -","8743",".348","98","","","","","","","","","","","","","","","","1000621"
"Champ Summers","- - -","1593",".348","113","","","","","","","","","","","","","","","","1012718"
"Chris Shelton","- - -","1044",".348","111","","","0","","34.1%","23.1%","42.9%","30.9%","33.0%","36.1%","13.7%","55.7%","30.6%","44.9%","82.2%","1891"
"Eddie Joost","- - -","6783",".348","102","","","","","","","","","","","","","","","","1006604"
"Dave Hollins","- - -","3911",".348","110","","","","","57.1%","14.3%","28.6%","28.6%","35.7%","35.7%","42.9%","42.9%","14.3%","","","1391"
"Darren Daulton","- - -","4340",".348","114","","","","","","","","","","","","","","","","1003010"
"Alfonso Soriano","- - -","8395",".348","111","","","0","","32.9%","20.3%","46.8%","46.6%","29.1%","24.3%","15.8%","53.6%","30.6%","57.7%","83.8%","847"
"Glenn Davis","- - -","4189",".348","122","","","","","","","","","","","","","","","","1003052"
"Julio Franco","- - -","9731",".348","112","","","0","","55.4%","24.3%","20.3%","24.3%","34.8%","40.9%","11.1%","58.0%","30.9%","75.0%","78.9%","87"
"Art Devlin","- - -","5241",".348","113","","","","","","","","","","","","","","","","1003248"
"Sam Jethroe","- - -","1975",".348","106","","","","","","","","","","","","","","","","1006407"
"Ernie Koy","- - -","2016",".348","105","","","","","","","","","","","","","","","","1007129"
"Shanty Hogan","- - -","3474",".348","101","","","","","","","","","","","","","","","","1005924"
"Jim Leyritz","- - -","2962",".348","109","","","","","","","","","","","","","","","","1007590"
"Glenallen Hill","- - -","4033",".348","110","","","","","","","","","","","","","","","","1005820"
"Joe Garagiola","- - -","2169",".348","98","","","","","","","","","","","","","","","","1004487"
