"Name","Team","PA","wOBA","wRC+","EV","maxEV","HardHit","HardHit%","GB%","LD%","FB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","O-Contact% (pfx)","Z-Contact% (pfx)","playerid"
"Manny Pina","- - -","1018",".312","90","86.7","109.7","207","29.7%","36.5%","23.7%","39.8%","43.2%","31.9%","24.9%","18.0%","47.5%","34.5%","62.3%","86.0%","2829"
"Skip Schumaker","- - -","3582",".312","93","85.6","105.3","43","22.2%","56.4%","22.4%","21.2%","31.6%","36.4%","32.0%","15.4%","62.6%","22.0%","72.7%","93.2%","3704"
"Dick Groat","- - -","8179",".312","90","","","","","","","","","","","","","","","","1005075"
"Kolten Wong","Cardinals","3044",".312","96","86.9","110.5","551","29.1%","46.8%","20.5%","32.8%","39.1%","35.1%","25.8%","20.9%","51.0%","28.0%","68.0%","89.9%","12532"
"Joe Orsulak","- - -","4714",".312","92","","","","","","","","","","","","","","","","1009852"
"Ryan Langerhans","- - -","1474",".312","88","","","0","","41.5%","20.7%","37.8%","44.7%","31.4%","23.9%","15.6%","56.3%","28.0%","47.3%","77.3%","98"
"Brock Holt","- - -","2401",".312","92","86.4","107.2","317","25.7%","52.2%","23.8%","24.1%","37.8%","34.7%","27.5%","18.0%","55.1%","26.9%","71.1%","92.4%","9345"
"Jim Presley","- - -","3818",".312","88","","","","","","","","","","","","","","","","1010523"
"Jimmy Cooney","- - -","1459",".312","84","","","","","","","","","","","","","","","","1002586"
"Chris Snyder","- - -","2459",".312","83","","","0","","42.9%","18.1%","39.1%","49.9%","30.5%","19.6%","17.1%","52.9%","30.0%","52.4%","84.4%","4606"
"Frank Scheibeck","- - -","1609",".312","78","","","","","","","","","","","","","","","","1011539"
